Player,Country,FirstMasters,Amateur
Ludvig Åberg,Sweden,No,No
Daniel Berger,USA,No,No
Akshay Bhatia,USA,No,No
Keegan Bradley,USA,No,No
Michael Brennan,USA,Yes,No
Jacob Bridgeman,USA,Yes,No
Sam Burns,USA,No,No
Angel Cabrera,Argentina,No,No
Brian Campbell,USA,No,No
Patrick Cantlay,USA,No,No
Wyndham Clark,USA,No,No
Corey Conners,Canada,No,No
Fred Couples,USA,No,No
Jason Day,Australia,No,No
Bryson DeChambeau,USA,No,No
Nicolas Echavarria,Colombia,No,No
Harris English,USA,No,No
Ethan Fang,USA,Yes,Yes
Matt Fitzpatrick,England,No,No
Tommy Fleetwood,England,No,No
Ryan Fox,New Zealand,No,No
Sergio Garcia,Spain,No,No
Ryan Gerard,USA,Yes,No
Chris Gotterup,USA,Yes,No
Max Greyserman,USA,No,No
Ben Griffin,USA,Yes,No
Harry Hall,England,Yes,No
Brian Harman,USA,No,No
Tyrrell Hatton,England,No,No
Russell Henley,USA,No,No
Jackson Herrington,USA,Yes,Yes
Nicolai Højgaard,Denmark,No,No
Rasmus Højgaard,Denmark,No,No
Brandon Holtz,USA,No,Yes
Max Homa,USA,No,No
Viktor Hovland,Norway,No,No
Mason Howell,USA,No,Yes
Sungjae Im,Korea,No,No
Casey Jarvis,S. Africa,Yes,No
Dustin Johnson,USA,No,No
Zach Johnson,USA,No,No
Naoyuki Kataoka,Japan,Yes,No
John Keefer,USA,Yes,No
Michael Kim,USA,No,No
Si Woo Kim,Korea,No,No
Kurt Kitayama,USA,No,No
Jake Knapp,USA,No,No
Brooks Koepka,USA,No,No
Fifa Laopakdee,Thailand,Yes,Yes
Min Woo Lee,Australia,No,No
Haotong Li,China,No,No
Shane Lowry,Ireland,No,No
Robert MacIntyre,Scotland,No,No
Hideki Matsuyama,Japan,No,No
Matt McCarty,USA,No,No
Rory McIlroy,N. Ireland,No,No
Tom McKibbin,N. Ireland,Yes,No
Maverick McNealy,USA,No,No
Collin Morikawa,USA,No,No
Rasmus Neergaard-Petersen,Denmark,Yes,No
Alex Noren,Sweden,No,No
Andrew Novak,USA,Yes,No
Jose Maria Olazabal,Spain,No,No
Carlos Ortiz,Mexico,No,No
Marco Penge,England,Yes,No
Aldrich Potgieter,S. Africa,No,No
Mateo Pulcini,Argentina,No,Yes
Jon Rahm,Spain,No,No
Aaron Rai,England,No,No
Patrick Reed,USA,No,No
Kristoffer Reitan,Norway,Yes,No
Davis Riley,USA,No,No
Justin Rose,England,No,No
Xander Schauffele,USA,No,No
Scottie Scheffler,USA,No,No
Charl Schwartzel,S. Africa,No,No
Adam Scott,Australia,No,No
Vijay Singh,Fiji,No,No
Cameron Smith,Australia,No,No
J.J. Spaun,USA,No,No
Jordan Spieth,USA,No,No
Samuel Stevens,USA,Yes,No
Sepp Straka,Austria,No,No
Nick Taylor,Canada,No,No
Justin Thomas,USA,No,No
Sami Valimaki,Finland,Yes,No
Bubba Watson,USA,No,No
Mike Weir,Canada,No,No
Danny Willett,England,No,No
Gary Woodland,USA,No,No
Cameron Young,USA,No,No
